Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.56128E-4,16.522174247,0.243543292,0.082768924,0.1,0.058823529
2.59092E-4,16.754067019,0.245669387,0.08187251,0.125,0.058823529
2.65955E-4,17.016985325,0.250546573,0.080876494,0.125,0.058823529
2.71302E-4,17.258580752,0.254302781,0.07998008,0.125,0.058823529
2.7462E-4,17.503885435,0.256614517,0.079083665,0.125,0.058823529
2.77523E-4,17.752040841,0.258626032,0.078187251,0.125,0.058823529
2.81989E-4,18.003826245,0.261698576,0.077290837,0.125,0.058823529
2.87746E-4,18.260482969,0.265622374,0.076394422,0.15,0.058823529
2.94631E-4,18.523501922,0.270260469,0.075498008,0.15,0.058823529
2.96714E-4,18.760160459,0.271651767,0.074701195,0.15,0.058823529
3.01549E-4,19.029512903,0.274861805,0.073804781,0.15,0.058823529
3.07774E-4,19.273821937,0.278952968,0.073007968,0.15,0.058823529
3.15195E-4,19.523236927,0.283770483,0.072211155,0.15,0.058823529
3.19533E-4,19.77739239,0.286556964,0.071414343,0.175,0.058823529
3.24225E-4,20.002979247,0.289546526,0.070717131,0.175,0.058823529
3.33039E-4,20.266847825,0.295094581,0.069920319,0.2,0.058823529
3.38336E-4,20.502714503,0.298387818,0.069223108,0.2,0.058823529
3.43046E-4,20.776060963,0.301290322,0.068426295,0.2,0.058823529
3.49276E-4,21.018915621,0.305092205,0.067729084,0.2,0.058823529
3.57247E-4,21.267636235,0.30989746,0.067031873,0.2,0.058823529
3.62187E-4,21.519570007,0.31284206,0.066334661,0.225,0.058823529
3.65713E-4,21.774163728,0.314928441,0.06563745,0.225,0.058823529
3.74744E-4,22.033106116,0.320215015,0.064940239,0.225,0.117647059
3.824E-4,22.259542937,0.324633248,0.064342629,0.225,0.117647059
3.85763E-4,22.528533827,0.326556062,0.063645418,0.225,0.176470588
3.90268E-4,22.760695067,0.329114706,0.063047809,0.225,0.176470588
3.98656E-4,23.03642209,0.333826962,0.062350598,0.25,0.176470588
4.03224E-4,23.276860113,0.336365123,0.061752988,0.25,0.176470588
4.11721E-4,23.521697942,0.341036192,0.061155378,0.25,0.176470588
4.20651E-4,23.771996727,0.345874707,0.060557769,0.25,0.176470588
4.29526E-4,24.027689411,0.350613502,0.059960159,0.25,0.176470588
4.35757E-4,24.288104007,0.353899522,0.05936255,0.25,0.176470588
4.40264E-4,24.507129034,0.356255786,0.058864542,0.275,0.176470588
4.49242E-4,24.77458893,0.360898798,0.058266932,0.275,0.176470588
4.63334E-4,25.002828326,0.36805294,0.057768924,0.275,0.176470588
4.77998E-4,25.286940969,0.37532958,0.057171315,0.275,0.176470588
4.80812E-4,25.526796478,0.376706758,0.056673307,0.275,0.176470588
4.84964E-4,25.76819456,0.378727951,0.056175299,0.275,0.176470588
4.91662E-4,26.012440526,0.381960525,0.055677291,0.275,0.176470588
5.01256E-4,26.261630904,0.386533119,0.055179283,0.275,0.176470588
5.1184E-4,26.51490141,0.391499525,0.054681275,0.275,0.176470588
5.17743E-4,26.771846486,0.39423419,0.054183267,0.275,0.176470588
5.23345E-4,27.032565715,0.396807619,0.053685259,0.3,0.176470588
5.32122E-4,27.296837206,0.400794896,0.053187251,0.3,0.176470588
5.41246E-4,27.511404277,0.404884937,0.052788845,0.3,0.176470588
5.48255E-4,27.784110999,0.407988985,0.052290837,0.3,0.176470588
5.56518E-4,28.005445828,0.411606861,0.05189243,0.3,0.176470588
5.61178E-4,28.28502649,0.413627684,0.051394422,0.3,0.176470588
5.65019E-4,28.510351778,0.415283152,0.050996016,0.3,0.176470588
5.75047E-4,28.796376707,0.419561347,0.050498008,0.3,0.176470588
5.80815E-4,29.027716692,0.421993701,0.050099602,0.325,0.176470588
5.84825E-4,29.261494912,0.423672811,0.049701195,0.325,0.176470588
6.00901E-4,29.558809575,0.430307635,0.049203187,0.325,0.176470588
6.10061E-4,29.801962042,0.434020264,0.048804781,0.325,0.176470588
6.20664E-4,30.048647254,0.4382574,0.048406375,0.325,0.176470588
6.25951E-4,30.29790749,0.440346835,0.048007968,0.325,0.176470588
6.3246E-4,30.550039271,0.442897883,0.047609562,0.325,0.176470588
6.38356E-4,30.80435236,0.445188488,0.047211155,0.325,0.176470588
6.41688E-4,31.060807471,0.446474905,0.046812749,0.325,0.176470588
6.46066E-4,31.254515768,0.448155724,0.046513944,0.325,0.176470588
6.62166E-4,31.51571223,0.454250628,0.046115538,0.325,0.176470588
6.65925E-4,31.781407368,0.455654451,0.045717131,0.325,0.176470588
6.74063E-4,32.049532072,0.458668916,0.045318725,0.325,0.176470588
6.80372E-4,32.25285416,0.460982981,0.04501992,0.325,0.176470588
6.86643E-4,32.526833249,0.463263204,0.044621514,0.325,0.176470588
6.9684E-4,32.805074763,0.466930865,0.044223108,0.325,0.176470588
6.9975E-4,33.014842395,0.467968067,0.043924303,0.325,0.176470588
7.06399E-4,33.296982764,0.470323275,0.043525896,0.325,0.176470588
7.17066E-4,33.510752774,0.474058754,0.043227092,0.325,0.176470588
7.28178E-4,33.800171704,0.477894259,0.042828685,0.325,0.176470588
7.28808E-4,34.01873136,0.478109902,0.04252988,0.325,0.176470588
7.34398E-4,34.311753071,0.480016693,0.042131474,0.325,0.176470588
7.39726E-4,34.533599413,0.481821483,0.041832669,0.325,0.176470588
7.44101E-4,34.756041548,0.483293827,0.041533865,0.325,0.176470588
7.57476E-4,35.056025537,0.48774381,0.041135458,0.325,0.176470588
7.65724E-4,35.284286592,0.490449964,0.040836653,0.325,0.176470588
7.72E-4,35.515316509,0.49249011,0.040537849,0.325,0.176470588
7.82369E-4,35.826990292,0.495825261,0.040139442,0.325,0.176470588
7.90297E-4,36.063192818,0.498345521,0.039840637,0.325,0.176470588
7.99152E-4,36.302137344,0.501131284,0.039541833,0.325,0.176470588
8.03973E-4,36.542599827,0.502634707,0.039243028,0.325,0.235294118
8.15131E-4,36.786352352,0.506080378,0.038944223,0.35,0.235294118
8.18467E-4,37.031380887,0.507101152,0.038645418,0.35,0.235294118
8.24321E-4,37.278332003,0.508882567,0.038346614,0.35,0.235294118
8.2538E-4,37.52581177,0.509203361,0.038047809,0.35,0.235294118
8.3202E-4,37.774683529,0.511205773,0.037749004,0.35,0.235294118
8.55707E-4,38.029871583,0.518217327,0.037450199,0.35,0.235294118
8.66098E-4,38.288698782,0.521230152,0.037151394,0.375,0.235294118
8.69755E-4,38.548968704,0.522281389,0.03685259,0.375,0.235294118
8.80426E-4,38.812303501,0.525323039,0.036553785,0.375,0.235294118
8.92546E-4,39.078890546,0.528731265,0.03625498,0.375,0.235294118
9.0686E-4,39.258886751,0.532693738,0.036055777,0.375,0.235294118
9.15484E-4,39.532980527,0.535049051,0.035756972,0.375,0.235294118
9.20749E-4,39.808681882,0.536475274,0.035458167,0.375,0.235294118
9.35212E-4,40.086989789,0.540348807,0.035159363,0.375,0.235294118
9.36732E-4,40.274185809,0.540751996,0.034960159,0.375,0.235294118
9.50946E-4,40.557137341,0.544489768,0.034661355,0.375,0.235294118
9.70569E-4,40.846197663,0.549550871,0.03436255,0.375,0.294117647
9.74536E-4,41.040740571,0.550560457,0.034163347,0.375,0.294117647
9.95074E-4,41.337072325,0.555715297,0.033864542,0.375,0.294117647
1.01212E-3,41.538776912,0.559904576,0.033665339,0.375,0.294117647
1.02068E-3,41.844073238,0.56197905,0.033366534,0.375,0.294117647
1.03616E-3,42.050162755,0.565681487,0.033167331,0.375,0.294117647
1.04142E-3,42.258161632,0.566925347,0.032968127,0.375,0.294117647
1.0545E-3,42.573546873,0.569986801,0.032669323,0.375,0.294117647
1.05715E-3,42.784738928,0.570601366,0.03247012,0.375,0.294117647
1.07713E-3,43.106064406,0.575182824,0.032171315,0.375,0.294117647
1.09514E-3,43.323328703,0.579229506,0.031972112,0.375,0.294117647
1.1043E-3,43.543287692,0.58125858,0.031772908,0.375,0.294117647
1.11571E-3,43.766416711,0.583758062,0.031573705,0.375,0.294117647
1.12847E-3,44.10338625,0.586518192,0.0312749,0.375,0.294117647
1.14096E-3,44.331244925,0.589184521,0.031075697,0.375,0.294117647
1.15125E-3,44.561280731,0.591357425,0.030876494,0.375,0.294117647
1.16156E-3,44.792732539,0.593510465,0.030677291,0.4,0.294117647
1.16989E-3,45.026080758,0.595232539,0.030478088,0.4,0.294117647
1.17466E-3,45.260761416,0.596212434,0.030278884,0.4,0.294117647
1.18883E-3,45.615523342,0.599095748,0.02998008,0.4,0.294117647
1.19815E-3,45.854966583,0.600969626,0.029780876,0.425,0.294117647
1.21931E-3,46.096839561,0.605159997,0.029581673,0.425,0.294117647
1.21997E-3,46.340813055,0.605290491,0.02938247,0.425,0.294117647
1.23289E-3,46.587096328,0.607803077,0.029183267,0.425,0.294117647
1.23553E-3,46.834162759,0.608313695,0.028984064,0.425,0.294117647
1.24369E-3,47.082316244,0.609880267,0.028784861,0.45,0.294117647
1.2513E-3,47.332545397,0.611330958,0.028585657,0.475,0.294117647
1.25467E-3,47.583251518,0.611970465,0.028386454,0.475,0.294117647
1.27032E-3,47.836524748,0.614910414,0.028187251,0.475,0.294117647
1.27819E-3,48.091776071,0.616371625,0.027988048,0.475,0.294117647
1.27942E-3,48.347633205,0.616598914,0.027788845,0.475,0.294117647
1.28284E-3,48.603954001,0.617229147,0.027589641,0.475,0.294117647
1.29482E-3,48.862329419,0.619422631,0.027390438,0.475,0.294117647
1.29779E-3,49.121726193,0.619962661,0.027191235,0.475,0.294117647
1.30086E-3,49.251812445,0.620520101,0.027091633,0.475,0.294117647
1.30495E-3,49.512425834,0.621258348,0.02689243,0.475,0.294117647
1.30818E-3,49.773932065,0.621840317,0.026693227,0.475,0.294117647
1.31291E-3,50.036152665,0.622689261,0.026494024,0.475,0.294117647
1.31619E-3,50.29929894,0.623275271,0.026294821,0.475,0.294117647
1.31814E-3,50.562923354,0.623622171,0.026095618,0.475,0.294117647
1.32111E-3,50.826935652,0.624150939,0.025896414,0.475,0.294117647
1.32759E-3,51.092106867,0.625296387,0.025697211,0.475,0.294117647
1.33082E-3,51.358187795,0.625865827,0.025498008,0.475,0.294117647
1.34705E-3,51.760569113,0.628700027,0.025199203,0.475,0.294117647
1.35438E-3,52.031141239,0.629966714,0.025,0.475,0.352941176
1.38667E-3,52.30686305,0.635441599,0.024800797,0.475,0.470588235
1.39106E-3,52.584695906,0.636174418,0.024601594,0.475,0.470588235
1.39739E-3,52.863750758,0.637223731,0.02440239,0.475,0.470588235
1.39831E-3,53.003581891,0.637376209,0.024302789,0.475,0.470588235
1.40307E-3,53.283789133,0.638161333,0.024103586,0.475,0.470588235
1.40437E-3,53.56456995,0.638374852,0.023904382,0.475,0.470588235
1.42018E-3,53.848033962,0.640955908,0.023705179,0.475,0.470588235
1.43046E-3,54.133856216,0.642614037,0.023505976,0.5,0.470588235
1.43121E-3,54.276977405,0.642734014,0.023406375,0.5,0.470588235
1.4431E-3,54.565347632,0.64463059,0.023207171,0.5,0.470588235
1.44745E-3,54.854434271,0.645320694,0.023007968,0.5,0.470588235
1.4528E-3,55.144494923,0.646164673,0.022808765,0.5,0.470588235
1.45885E-3,55.290380399,0.647114721,0.022709163,0.5,0.470588235
1.46546E-3,55.583406093,0.648145611,0.02250996,0.5,0.470588235
1.46808E-3,55.876945003,0.648552974,0.022310757,0.5,0.470588235
1.48435E-3,56.025380296,0.651061358,0.022211155,0.5,0.470588235
1.48556E-3,56.322464943,0.651246295,0.022011952,0.5,0.470588235
1.48853E-3,56.619935091,0.65169998,0.021812749,0.5,0.470588235
1.48873E-3,56.768807782,0.651729514,0.021713147,0.5,0.470588235
1.49837E-3,57.068367873,0.653193106,0.021513944,0.5,0.470588235
1.50375E-3,57.369022792,0.654005035,0.021314741,0.5,0.470588235
1.50507E-3,57.519529686,0.654203396,0.021215139,0.5,0.470588235
1.50537E-3,57.820599203,0.654249313,0.021015936,0.5,0.470588235
1.51027E-3,58.12229427,0.654983015,0.020816733,0.5,0.470588235
1.51086E-3,58.273380459,0.655071927,0.020717131,0.5,0.470588235
1.52011E-3,58.57717497,0.656448743,0.020517928,0.5,0.470588235
1.52122E-3,58.881316954,0.656613432,0.020318725,0.5,0.470588235
1.52378E-3,59.033695439,0.656993815,0.020219124,0.5,0.470588235
1.53067E-3,59.339754647,0.658009232,0.02001992,0.5,0.470588235
1.53441E-3,59.646293524,0.658558716,0.019820717,0.5,0.470588235
1.53812E-3,59.800105063,0.659100149,0.019721116,0.5,0.470588235
1.54642E-3,60.109017439,0.660308553,0.019521912,0.5,0.470588235
1.54784E-3,60.26380185,0.660515415,0.019422311,0.5,0.470588235
1.54973E-3,60.573694772,0.660788997,0.019223108,0.5,0.470588235
1.55256E-3,60.884175071,0.661197846,0.019023904,0.5,0.470588235
1.55268E-3,61.039442959,0.66121438,0.018924303,0.5,0.470588235
1.55649E-3,61.350672154,0.661763802,0.0187251,0.5,0.470588235
1.56328E-3,61.506999661,0.66273626,0.018625498,0.5,0.470588235
1.56606E-3,61.820149569,0.663134097,0.018426295,0.5,0.470588235
1.56872E-3,62.133810242,0.663513001,0.018227092,0.525,0.470588235
1.5696E-3,62.29076975,0.66363748,0.01812749,0.55,0.470588235
1.57789E-3,62.605751547,0.664812599,0.017928287,0.55,0.470588235
1.58155E-3,62.763906817,0.6653295,0.017828685,0.55,0.470588235
1.58318E-3,63.08049305,0.665558235,0.017629482,0.55,0.470588235
1.58428E-3,63.397322519,0.665713232,0.017430279,0.55,0.470588235
1.58646E-3,63.555968885,0.666019486,0.017330677,0.55,0.470588235
1.5903E-3,63.873724114,0.666556541,0.017131474,0.55,0.470588235
1.59819E-3,64.033542795,0.667655135,0.017031873,0.55,0.470588235
1.60462E-3,64.354334061,0.668545743,0.016832669,0.55,0.470588235
1.60609E-3,64.514942707,0.668748311,0.016733068,0.55,0.470588235
1.61113E-3,64.837058246,0.669442646,0.016533865,0.55,0.529411765
1.61745E-3,65.160228073,0.6703085,0.016334661,0.55,0.529411765
1.62522E-3,65.322750258,0.671366753,0.01623506,0.55,0.529411765
1.63068E-3,65.648570651,0.672106643,0.016035857,0.55,0.529411765
