Predictor variable,Categorical,Sample average
aspect,false,165.56375674009323
elevation,false,2797.825
plan_curv,false,-0.13519601970911027
profile_curv,false,0.34480398073792456
sope,false,16.728787499666215
tri,false,5.939565849304199
